key	comment	fr	en	es	ab	zh	ru	hy	bg	pt	cs	de	et	fa	fi	he	it	ja	ko	hu	nl	pl	ro	sr	sk	sl	sv	uk
msg_no_component_selected	Google translate used except for 'fr' and 'en'	Aucun composant <b>{0}</b> sélectionné.	No <b>{0}</b> component selected.	No se ha seleccionado ningún componente <b>{0}</b>.	لم يتم تحديد مكون <b>{0}</b>.	未选择 <b>{0}</b> 组件。	Компонент <b>{0}</b> не выбран.	Ընտրված չէ <b>{0}</b> բաղադրիչ:	Не е избран компонент <b>{0}</b>.	Nenhum componente <b>{0}</b> selecionado.	Není vybrána žádná komponenta <b>{0}</b>.	Keine <b>{0}</b>-Komponente ausgewählt.	Ühtegi komponenti <b>{0}</b> pole valitud.	هیچ مؤلفه <b>{0}</b> انتخاب نشده است.	Komponenttia <b>{0}</b> ei ole valittu.	לא נבחר רכיב <b>{0}</b>.	Nessun componente <b>{0}</b> selezionato.	<b>{0}</b> コンポーネントが選択されていません。	<b>{0}</b> 구성요소를 선택하지 않았습니다.	Nincs kiválasztva <b>{0}</b> összetevő.	Geen <b>{0}</b> component geselecteerd.	Nie wybrano komponentu <b>{0}</b>.	Nicio componentă <b>{0}</b> selectată.	Није изабрана компонента <б>{0}</б>.	Nie je vybratý žiadny komponent <b>{0}</b>.	Izbrana ni nobena komponenta <b>{0}</b>.	Ingen <b>{0}</b>-komponent har valts.	Компонент <b>{0}</b> не вибрано.
btn_create_component_from_backup	Google translate used except for 'fr' and 'en'	Créer un nouveau composant <b>{0}</b> identique à celui utilisé pour produire les résultats actuels.	Create a new  <b>{0}</b> component matching the one used to produce the current results.	Cree un nuevo componente <b>{0}</b> que coincida con el utilizado para producir los resultados actuales.	قم بإنشاء مكون <b>{0}</b> جديد يطابق المكون المستخدم لإنتاج النتائج الحالية.	创建一个与用于生成当前结果的组件相匹配的新 <b>{0}</b> 组件。	Создайте новый компонент <b>{0}</b>, соответствующий тому, который использовался для получения текущих результатов.	Ստեղծեք նոր <b>{0}</b> բաղադրիչ, որը կհամապատասխանի ընթացիկ արդյունքների համար օգտագործվող բաղադրիչին:	Създайте нов <b>{0}</b> компонент, съответстващ на този, използван за получаване на текущите резултати.	Crie um novo componente <b>{0}</b> correspondente àquele usado para produzir os resultados atuais.	Vytvořte novou komponentu <b>{0}</b> odpovídající komponentě použité k vytvoření aktuálních výsledků.	Erstellen Sie eine neue <b>{0}</b>-Komponente, die mit der Komponente übereinstimmt, die zum Erzeugen der aktuellen Ergebnisse verwendet wurde.	Looge uus komponent <b>{0}</b>, mis vastab praeguste tulemuste saamiseks kasutatud komponentidele.	یک مؤلفه <b>{0}</b> جدید ایجاد کنید که مطابق با مؤلفه مورد استفاده برای تولید نتایج فعلی باشد.	Luo uusi komponentti <b>{0}</b>, joka vastaa nykyisten tulosten tuottamiseen käytettyä komponenttia.	צור רכיב <b>{0}</b> חדש התואם לרכיב המשמש להפקת התוצאות הנוכחיות.	Crea un nuovo componente <b>{0}</b> corrispondente a quello utilizzato per produrre i risultati correnti.	現在の結果を生成するために使用されたコンポーネントと一致する新しい <b>{0}</b> コンポーネントを作成します。	현재 결과를 생성하는 데 사용된 것과 일치하는 새 <b>{0}</b> 구성 요소를 만듭니다.	Hozzon létre egy új <b>{0}</b> összetevőt, amely megegyezik az aktuális eredmények előállításához használt összetevővel.	Maak een nieuwe <b>{0}</b>-component die overeenkomt met de component die wordt gebruikt om de huidige resultaten te produceren.	Utwórz nowy komponent <b>{0}</b> pasujący do tego, którego użyto do wygenerowania bieżących wyników.	Creați o nouă componentă <b>{0}</b> care să se potrivească cu cea utilizată pentru a produce rezultatele curente.	Направите нову <б>{0}</б> компоненту која се подудара са оном која се користи за производњу тренутних резултата.	Vytvorte nový komponent <b>{0}</b>, ktorý sa zhoduje s komponentom použitým na vytvorenie aktuálnych výsledkov.	Ustvarite novo komponento <b>{0}</b>, ki se ujema s tisto, ki je bila uporabljena za izdelavo trenutnih rezultatov.	Skapa en ny <b>{0}</b>-komponent som matchar den som används för att producera de aktuella resultaten.	Створіть новий компонент <b>{0}</b>, відповідний тому, який використовувався для отримання поточних результатів.
kac_to_physical_parameters_warning	Google translate used except for 'fr' and 'en'	Basculer vers le mode paramètres physiques entrainera la réinitialisation des values k, a et c!	Switching to physical parameters mode will reset the k, a and c values!	¡Cambiar al modo de parámetros físicos restablecerá los valores k, a y c!	سيؤدي التبديل إلى وضع المعلمات المادية إلى إعادة ضبط قيم k وa وc!	切换到物理参数模式将重置 k、a 和 c 值！	Переключение в режим физических параметров приведет к сбросу значений k, a и c!	Ֆիզիկական պարամետրերի ռեժիմին անցնելը կվերակայի k, a և c արժեքները:	Превключването към режим на физически параметри ще нулира стойностите k, a и c!	Mudar para o modo de parâmetros físicos redefinirá os valores k, a e c!	Přepnutím do režimu fyzikálních parametrů se resetují hodnoty k, a a c!	Beim Wechsel in den physikalischen Parametermodus werden die k-, a- und c-Werte zurückgesetzt!	Füüsiliste parameetrite režiimile lülitumisel lähtestatakse k, a ja c väärtused!	تغییر به حالت پارامترهای فیزیکی مقادیر k، a و c را بازنشانی می کند!	Fyysisten parametrien tilaan vaihtaminen nollaa k-, a- ja c-arvot!	מעבר למצב פרמטרים פיזיים יאפס את ערכי k, a ו-c!	Il passaggio alla modalità parametri fisici ripristinerà i valori k, a e c!	物理パラメータ モードに切り替えると、k、a、c の値がリセットされます。	물리적 매개변수 모드로 전환하면 k, a 및 c 값이 재설정됩니다!	A fizikai paraméterek módba váltáskor a k, a és c értékek visszaállnak!	Als u naar de fysieke parametermodus overschakelt, worden de k-, a- en c-waarden gereset!	Przełączenie do trybu parametrów fizycznych spowoduje zresetowanie wartości k, a i c!	Trecerea la modul parametri fizici va reseta valorile k, a și c!	Прелазак на режим физичких параметара ће ресетовати вредности к, а и ц!	Prepnutím do režimu fyzikálnych parametrov sa vynulujú hodnoty k, a a c!	Preklop v način fizičnih parametrov bo ponastavil vrednosti k, a in c!	Om du byter till fysiskt parameterläge återställs k-, a- och c-värdena!	Перехід у режим фізичних параметрів призведе до скидання значень k, a і c!
importing_baratinage_v2_project	Google translate used except for 'fr' and 'en'	Importation d'un project BaRatinAGE v2.x ...	Importing a v2.x BaRatinAGE project ...	Importando un proyecto BaRatinAGE v2.x...	جارٍ استيراد مشروع v2.x BaRatinAGE ...	正在导入 v2.x BaRatinAGE 项目...	Импорт проекта BaRatinAGE v2.x...	v2.x BaRatinAGE նախագծի ներմուծում ...	Импортиране на проект v2.x BaRatinAGE ...	Importando um projeto BaRatinAGE v2.x...	Import projektu v2.x BaRatinAGE...	Importieren eines v2.x BaRatinAGE-Projekts ...	Projekti v2.x BaRatinAGE importimine ...	وارد کردن یک پروژه v2.x BaRatinAGE ...	Tuodaan v2.x BaRatinAGE -projektia...	ייבוא פרויקט v2.x BaRatinAGE ...	Importazione di un progetto BaRatinAGE v2.x in corso...	v2.x BaRatinAGE プロジェクトをインポートしています ...	v2.x BaRatinAGE 프로젝트 가져오기 중...	V2.x BaRatinAGE projekt importálása...	Een v2.x BaRatinAGE-project importeren ...	Importowanie projektu BaRatinAGE v2.x...	Importul unui proiect BaRatinAGE v2.x...	Увоз пројекта в2.к БаРатинАГЕ ...	Importuje sa projekt v2.x BaRatinAGE...	Uvažanje projekta v2.x BaRatinAGE ...	Importerar ett v2.x BaRatinAGE-projekt ...	Імпорт проекту BaRatinAGE v2.x ...
import_baratinage_v2_project	Google translate used except for 'fr' and 'en'	Importer un projet BaRatinAGE v2.x	Import v2.x BaRatinAGE project	Importar proyecto v2.x BaRatinAGE	استيراد مشروع v2.x BaRatinAGE	导入 v2.x BarRatinAGE 项目	Импортировать проект BaRatinAGE v2.x	Ներմուծեք v2.x BaRatinAGE նախագիծը	Импортирайте проект v2.x BaRatinAGE	Importar projeto BaRatinAGE v2.x	Import v2.x projektu BaRatinAGE	Importieren Sie das BaRatinAGE-Projekt v2.x	Import v2.x BaRatinAGE projekt	پروژه v2.x BaRatinAGE را وارد کنید	Tuo v2.x BaRatinAGE-projekti	ייבוא פרויקט v2.x BaRatinAGE	Importa il progetto BaRatinAGE v2.x	v2.x BaRatinAGE プロジェクトをインポートする	v2.x BaRatinAGE 프로젝트 가져오기	V2.x BaRatinAGE projekt importálása	Importeer v2.x BaRatinAGE-project	Importuj projekt BaRatinAGE v2.x	Importați proiectul BaRatinAGE v2.x	Импорт в2.к БаРатинАГЕ пројекат	Importovať projekt v2.x BaRatinAGE	Uvoz v2.x BaRatinAGE projekta	Importera v2.x BaRatinAGE-projekt	Імпорт проекту BaRatinAGE v2.x
bar_zip_file_format	Google translate used except for 'fr' and 'en'	Fichier BaRatinAGE v2.x	BaRatinAGE v2.x file	Archivo BaRatinAGE v2.x	ملف BaRatinAGE v2.x	BarRatinAGE v2.x 文件	Файл BaRatinAGE v2.x	BaRatinAGE v2.x ֆայլ	Файл BaRatinAGE v2.x	Arquivo BaRatinAGE v2.x	soubor BaRatinAGE v2.x	BaRatinAGE v2.x-Datei	BaRatinAGE v2.x fail	فایل BaRatinAGE v2.x	BaRatinAGE v2.x -tiedosto	קובץ BaRatinAGE v2.x	File BaRatinAGE v2.x	BaRatinAGE v2.x ファイル	BaRatinAGE v2.x 파일	BaRatinAGE v2.x fájl	BaRatinAGE v2.x-bestand	Plik BaRatinAGE v2.x	Fișierul BaRatinAGE v2.x	Датотека БаРатинАГЕ в2.к	súbor BaRatinAGE v2.x	Datoteka BaRatinAGE v2.x	BaRatinAGE v2.x-fil	Файл BaRatinAGE v2.x
about_main_description	Google translate used except for 'fr' and 'en'	Une interface Java pour l'estimation des courbes de tarage	A Java interface for rating curve estimation	BaRatinAGE 2.2 - una interfaz Java para la estimación de las curvas de gasto NOT_EXACT	BaRatinAGE 2.2 - واجهة Java لتقدير منحنى التصنيف NOT_EXACT	BaRatinAGE 2.2 - 一个java界面用于水位流量曲线模拟 NOT_EXACT	BaRatinAGE 2.2 - интерфейс Java для оценки калибровочной кривой NOT_EXACT	BaRatinAGE 2.2 - Java ինտերֆեյս վարկանիշի կորի գնահատման համար NOT_EXACT	BaRatinAGE 2.2 - Java интерфейс за дефиниране на ключова крива NOT_EXACT	BaRatinAGE 2.2 - uma interface Java para a estimativa das curvas de classificação NOT_EXACT	BaRatinAGE 2.2 - Java rozhraní pro odhad ratingové křivky NOT_EXACT	BaRatinAGE 2.2 - eine Java-Schnittstelle für die Schätzung von Abflusskurven. NOT_EXACT	BaRatinAGE 2.2 - Java-liides reitingukõvera hindamiseks NOT_EXACT	BaRatinAGE 2.2 - یک رابط جاوا برای تخمین منحنی سنجه NOT_EXACT	BaRatinAGE 2.2 - Java-käyttöliittymä purkautumiskäyrien estimointia varten. NOT_EXACT	BaRatinAGE 2.2 - ממשק Java להערכת עקומת דירוג NOT_EXACT	BaRatinAGE 2.2 - un'interfaccia Java per la stima delle scale di deflusso NOT_EXACT	BaRatinAGE 2.2 - 水位流量曲線推定用の Java インターフェース NOT_EXACT	BaRatinAGE 2.2 - 수위유량곡선 추정을 위한 Java 인터페이스 NOT_EXACT	BaRatinAGE 2.2 - Java interfész a vízhozamgörbe becsléséhez NOT_EXACT	BaRatinAGE 2.2 - een Java-interface voor de schatting van ratingcurves NOT_EXACT	BaRatinAGE 2.2 - interfejs Java do estymacji krzywej przepływu NOT_EXACT	BaRatinAGE 2.2 - o interfață Java pentru estimarea cheii limnimetrice NOT_EXACT	БаРатинАГЕ 2.2 - Јава интерфејс за процену криве рејтинга NOT_EXACT	BaRatinAGE 2.2 - rozhranie Java na odhad mernej krivky NOT_EXACT	BaRatinAGE 2.2 - vmesnik Java za določitev pretočnih krivulj NOT_EXACT	BaRatinAGE 2.2 - ett Java-gränssnitt för uppskattning av ratingkurvor. NOT_EXACT	BaRatinAGE 2.2 - Java-інтерфейс для оцінки рейтингової кривої NOT_EXACT
about_credits	Google translate used except for 'fr' and 'en'	Crédits	Credits	Créditos	الاعتمادات	制作人员	Кредиты	Վարկեր	Кредити	Créditos	Kredity	Credits	Krediidid	وام	Krediitit	נקודות זכות	Crediti	クレジット	크레딧	Kredit	Kredieten	Kredyty	credite	Цредитс	Kredity	Krediti	Krediter	Кредити
no_help_availabel	Google translate used except for 'fr' and 'en'	Aucune aide disponible pour BaRatinAGE v3	No help is available for BaRatinAGE v3 yet	Aún no hay ayuda disponible para BaRatinAGE v3	لا توجد مساعدة متاحة لـ BaRatinAGE v3 حتى الآن	尚无关于 BaRatinAGE v3 的帮助	Для BaRatinAGE v3 пока помощь недоступна.	BaRatinAGE v3-ի համար դեռ օգնություն չկա	Все още няма налична помощ за BaRatinAGE v3	Nenhuma ajuda está disponível para BaRatinAGE v3 ainda	Pro BaRatinAGE v3 zatím není k dispozici žádná nápověda	Für BaRatinAGE v3 ist noch keine Hilfe verfügbar	BaRatinAGE v3 jaoks pole abi veel saadaval	هنوز هیچ راهنمایی برای BaRatinAGE v3 در دسترس نیست	BaRatinAGE v3:lle ei ole vielä saatavilla apua	עדיין אין עזרה זמינה עבור BaRatinAGE v3	Nessun aiuto è ancora disponibile per BaRatinAGE v3	BaRatinAGE v3 に関するヘルプはまだありません	BaRatinAGE v3에 대해서는 아직 도움이 제공되지 않습니다.	A BaRatinAGE v3-hoz még nem érhető el segítség	Er is nog geen hulp beschikbaar voor BaRatinAGE v3	Nie jest jeszcze dostępna pomoc dla BaRatinAGE v3	Încă nu este disponibil niciun ajutor pentru BaRatinAGE v3	Још увек није доступна помоћ за БаРатинАГЕ в3	Pre BaRatinAGE v3 zatiaľ nie je k dispozícii žiadna pomoc	Za BaRatinAGE v3 še ni na voljo nobene pomoči	Ingen hjälp är tillgänglig för BaRatinAGE v3 ännu	Для BaRatinAGE v3 ще немає довідки
open_v2_help_question	Google translate used except for 'fr' and 'en'	Voulez-vous ouvrire l'aide de BaRatinAGE v2.2 à la place?	Do you want to open BaRatinAGE v2.2 help instead?	¿Quieres abrir la ayuda de BaRatinAGE v2.2 en su lugar?	هل تريد فتح تعليمات BaRatinAGE v2.2 بدلاً من ذلك؟	您想打开 BaRatinAGE v2.2 帮助吗？	Хотите вместо этого открыть справку по BaRatinAGE v2.2?	Ցանկանու՞մ եք փոխարենը բացել BaRatinAGE v2.2 օգնությունը:	Искате ли вместо това да отворите помощ за BaRatinAGE v2.2?	Deseja abrir a ajuda do BaRatinAGE v2.2?	Chcete místo toho otevřít nápovědu k BaRatinAGE v2.2?	Möchten Sie stattdessen die Hilfe zu BaRatinAGE v2.2 öffnen?	Kas soovite selle asemel avada BaRatinAGE v2.2 spikri?	آیا می خواهید به جای آن راهنمای BaRatinAGE v2.2 را باز کنید؟	Haluatko sen sijaan avata BaRatinAGE v2.2 -ohjeen?	האם אתה רוצה לפתוח את העזרה של BaRatinAGE v2.2 במקום זאת?	Vuoi invece aprire la guida di BaRatinAGE v2.2?	代わりに BaRatinAGE v2.2 ヘルプを開きますか?	대신 BaRatinAGE v2.2 도움말을 열시겠습니까?	Meg szeretné nyitni helyette a BaRatinAGE v2.2 súgóját?	Wilt u in plaats daarvan de Help van BaRatinAGE v2.2 openen?	Czy zamiast tego chcesz otworzyć pomoc BaRatinAGE v2.2?	Doriți să deschideți ajutor BaRatinAGE v2.2?	Да ли желите да уместо тога отворите помоћ за БаРатинАГЕ в2.2?	Chcete namiesto toho otvoriť pomocníka BaRatinAGE v2.2?	Ali želite namesto tega odpreti pomoč za BaRatinAGE v2.2?	Vill du öppna BaRatinAGE v2.2 hjälp istället?	Бажаєте замість цього відкрити довідку BaRatinAGE v2.2?
distribution	Google translate used except for 'fr' and 'en'	Distribution	Distribution	Distribución	توزيع	分配	Распределение	Բաշխում	Разпределение	Distribuição	Rozdělení	Verteilung	Levitamine	توزیع	Jakelu	הפצה	Distribuzione	分布	분포	terjesztés	Verdeling	Dystrybucja	Distributie	Дистрибуција	Distribúcia	Distribucija	Distribution	Розподіл
distribution_parameters	Google translate used except for 'fr' and 'en'	Paramètres de la distribution	Distribution's parameters	Parámetros de distribución	معلمات التوزيع	分布参数	Параметры раздачи	Բաշխման պարամետրեր	Параметри на разпространението	Parâmetros de distribuição	Parametry distribuce	Parameter der Verteilung	Jaotuse parameetrid	پارامترهای توزیع	Jakelun parametrit	הפרמטרים של התפוצה	I parametri della distribuzione	ディストリビューションのパラメータ	분포의 매개변수	Az elosztás paraméterei	Distributieparameters	Parametry dystrybucji	Parametrii distribuției	Параметри дистрибуције	Parametre distribúcie	Parametri distribucije	Fördelningens parametrar	Параметри розподілу
initial_guess	Google translate used except for 'fr' and 'en'	Valeur initiale	Initial guess	Estimación inicial	تخمين الأولي	初步猜测	Первоначальное предположение	Նախնական ենթադրություն	Първоначално предположение	Suposição inicial	Prvotní odhad	Erste Vermutung	Esialgne oletus	حدس اولیه	Alkuperäinen arvaus	ניחוש ראשוני	Ipotesi iniziale	初期推測	초기 추측	Kezdeti tipp	Eerste gok	Wstępne przypuszczenie	Ghicirea inițială	Прво нагађање	Počiatočný odhad	Začetno ugibanje	Inledande gissning	Початкове припущення
dist_Gaussian	Google translate used except for 'fr' and 'en'	Gaussien	Gaussian	gaussiano	غاوسي	高斯	Гауссовский	Գաուսյան	Гаус	Gaussiano	Gaussův	Gauß	Gaussi	گاوسی	Gaussin	גאוס	gaussiano	ガウス	가우스	Gauss-féle	Gaussiaans	Gaussa	gaussian	Гаусов	Gaussovský	Gaussov	Gaussisk	гаусівський
dist_LogNormal	Google translate used except for 'fr' and 'en'	Log Normale	Log Normal	Registro normal	سجل عادي	对数正常	Журнал нормальный	Մատյան նորմալ	Дневник Нормален	Registro Normal	Log Normal	Log Normal	Logi Normaalne	ورود به سیستم عادی	Log Normaali	יומן רגיל	Registra normale	正常ログ	로그 노멀	Napló Normál	Logboek Normaal	Zaloguj się normalnie	Jurnal Normal	Лог Нормал	Log Normal	Log Normal	Logga Normal	Журнал Нормальний
dist_Uniform	Google translate used except for 'fr' and 'en'	Uniforme	Uniform	Uniforme	زي مُوحد	制服	Униформа	Համազգեստ	Униформа	Uniforme	Jednotný	Uniform	Vormiriietus	لباس فرم	Univormu	מדים	Uniforme	ユニフォーム	제복	Egyenruha	Uniform	Mundur	Uniformă	Униформа	Uniforma	Uniforma	Enhetlig	Уніформа
dist_Exponential	Google translate used except for 'fr' and 'en'	Exponentiel	Exponential	Exponencial	متسارع	指数	Экспоненциальный	Էքսպոնենցիալ	Експоненциален	Exponencial	Exponenciální	Exponentiell	Eksponentsiaalne	نمایی	Eksponentiaalinen	אקספוננציאלי	Esponenziale	指数関数的	지수	Exponenciális	Exponentieel	Wykładniczy	Exponenţial	Експоненцијално	Exponenciálny	Eksponentna	Exponentiell	Експоненціальний
dist_GEV	Google translate used except for 'fr' and 'en'	GEV	GEV	GEV	جيف	GEV	ГЭВ	ԳԵՎ	GEV	GEV	GEV	GEV	GEV	GEV	GEV	GEV	GEV	GEV	GEV	GEV	GEV	GEV	GEV	ГЕВ	GEV	GEV	GEV	GEV
dist_Triangle	Google translate used except for 'fr' and 'en'	Triangle	Triangle	Triángulo	مثلث	三角形	Треугольник	Եռանկյուն	Триъгълник	Triângulo	Trojúhelník	Dreieck	Kolmnurk	مثلث	Kolmio	משולש	Triangolo	三角形	삼각형	Háromszög	Driehoek	Trójkąt	Triunghi	Троугао	Trojuholník	Trikotnik	Triangel	Трикутник
dist_FIX	Google translate used except for 'fr' and 'en'	Valeur fixe	Fixed value	Valor fijo	قيمة ثابتة	固定值	Фиксированная стоимость	Հաստատուն արժեք	Фиксирана стойност	Valor fixo	Pevná hodnota	Fester Wert	Fikseeritud väärtus	ارزش ثابت	Kiinteä arvo	ערך קבוע	Valore fisso	固定値	고정값	Fix érték	Vaste waarde	Stała wartość	Valoare fixa	Фиксна вредност	Pevná hodnota	Fiksna vrednost	Bestämt värde	Фіксоване значення
mean	Google translate used except for 'fr' and 'en'	Moyenne	Mean	Significar	يقصد	意思是	Иметь в виду	Նկատի ունեմ	Означава	Significar	Znamenat	Bedeuten	Tähendab	منظور داشتن	Tarkoittaa	מתכוון	Significare	平均	평균	Átlagos	Gemeen	Mieć na myśli	Rău	Значити	Priemerná	Pomeni	Betyda	Середній
std	Google translate used except for 'fr' and 'en'	Ecart-type	Standard-deviation	Desviación Estándar	الانحراف المعياري	标准差	Среднеквадратичное отклонение	Ստանդարտ-շեղում	Стандартно отклонение	Desvio padrão	Standardní odchylka	Standardabweichung	Standardhälve	انحراف معیار	Vakiopoikkeama	סטיית תקן	Deviazione standard	標準偏差	표준 편차	Szórás	Standaardafwijking	Odchylenie standardowe	Deviație standard	Стандардна девијација	Smerodajná odchýlka	Standardni odklon	Standardavvikelse	Стандартне відхилення
log_mean	Google translate used except for 'fr' and 'en'	Moyenne log	Log mean	media logarítmica	سجل يعني	对数平均值	Логарифмическое среднее	Մատյան նշանակում	Вход средно	Média de registro	Log znamená	Log-Mittel	Logi keskmine	ورود به سیستم	Log keskiarvo	יומן מתכוון	Log media	対数平均	로그 평균	Napló átlag	Logboek betekent	Zaloguj oznacza	Jurnalul înseamnă	Дневник значи	Log priemer	Dnevnik pomeni	Logga menar	Журнал середній
log_std	Google translate used except for 'fr' and 'en'	Ecart-type log	Log standard-deviation	Registrar la desviación estándar	سجل الانحراف المعياري	对数标准差	Записать стандартное отклонение	Մատյան ստանդարտ-շեղում	Log стандартно отклонение	Registrar desvio padrão	Zaznamenat směrodatnou odchylku	Standardabweichung protokollieren	Logi standardhälve	ورود به سیستم انحراف استاندارد	Log keskihajonnan	יומן סטיית תקן	Log della deviazione standard	対数標準偏差	로그 표준편차	Napló szórás	Log standaardafwijking	Zapisz odchylenie standardowe	Înregistrați abaterea standard	Лог стандардне девијације	Log štandardná odchýlka	Dnevnik standardnega odklona	Logga standardavvikelse	Журнал стандартного відхилення
lower_bound	Google translate used except for 'fr' and 'en'	Limite inférieure	Lower bound	Límite inferior	الأدنى	下限	Нижняя граница	Ստորին սահմանը	Долна граница	Limite inferior	Dolní hranice	Untergrenze	Alampiir	کران پایین	Alaraja	חסם תחתון	Limite inferiore	下限	하한	Alsó határ	Ondergrens	Dolna granica	Limita inferioară	Доња граница	Nižšia hranica	Spodnja meja	Nedre gräns	Нижня межа
upper_bound	Google translate used except for 'fr' and 'en'	Limite supérieure	Upper bound	límite superior	الحد الاعلى	上限	Верхняя граница	Վերին սահմանը	Горна граница	Limite superior	Horní hranice	Obere Grenze	Ülemine piir	کران بالا	Yläraja	גבול עליון	Limite superiore	上界	상한	Felső határ	Bovengrens	Górna granica	Limită superioară	Горња граница	Horná hranica	Zgornja meja	Övre gräns	Верхня межа
location	Google translate used except for 'fr' and 'en'	Position	Location	Ubicación	موقع	地点	Расположение	Գտնվելու վայրը	Местоположение	Localização	Umístění	Standort	Asukoht	محل	Sijainti	מקום	Posizione	位置	위치	Elhelyezkedés	Plaats	Lokalizacja	Locație	Локација	Poloha	Lokacija	Plats	Місцезнаходження
scale	Google translate used except for 'fr' and 'en'	Echelle	Scale	Escala	حجم	规模	Шкала	Սանդղակ	Мащаб	Escala	Měřítko	Skala	Kaal	مقیاس	Mittakaava	סוּלָם	Scala	規模	규모	Skála	Schaal	Skala	Scară	Скала	Mierka	Lestvica	Skala	масштаб
shape	Google translate used except for 'fr' and 'en'	Forme	Shape	Forma	شكل	形状	Форма	Ձևավորում	Форма	Forma	Tvar	Form	Kuju	شکل	Muoto	צוּרָה	Forma	形	모양	Alak	Vorm	Kształt	Formă	Облик	Tvar	oblika	Form	Форма
peak	Google translate used except for 'fr' and 'en'	Sommet	Peak	Cima	قمة	顶峰	Вершина горы	Պիկ	Връх	Pico	Vrchol	Gipfel	Tipp	اوج	Huippu	שִׂיא	Picco	ピーク	정점	Csúcs	Hoogtepunt	Szczyt	Vârf	Пеак	Vrchol	Peak	Topp	пік
stage_grid	Google translate used except for 'fr' and 'en'	Grille de hauteurs d'eau	Stage grid	Cuadrícula de escenario	شبكة المرحلة	舞台网格	Сетка сцены	Բեմական ցանց	Етапна решетка	Grade de palco	Jevištní mřížka	Bühnenraster	Lava ruudustik	شبکه صحنه	Lavaruudukko	רשת במה	Griglia scenica	ステージグリッド	무대 그리드	Színpadi rács	Faseraster	Siatka sceniczna	Grilă de scenă	Стаге грид	Javisková mriežka	Odrska mreža	Stage rutnät	Сценічна сітка
empty_gauging_set	Google translate used except for 'fr' and 'en'	Jeu de jaugeages vide	Empty gauging set	Conjunto de medición vacío	مجموعة قياس فارغة	s空测量装置	Пустой измерительный комплект	Դատարկ չափիչ հավաքածու	Празен комплект за измерване	Conjunto de medição vazio	Prázdná měřicí souprava	Leeres Messset	Tühi mõõtekomplekt	مجموعه اندازه گیری خالی	Tyhjä mittaussarja	סט מדידה ריק	Set di misura vuoto	空のゲージセット	빈 측정 세트	Üres mérőkészlet	Lege meetset	Pusty zestaw pomiarowy	Set de măsurare gol	Празан сет за мерење	Prázdna meracia súprava	Prazen merilni set	Tomt mätset	Порожній вимірювальний набір
empty_limnigraph	Google translate used except for 'fr' and 'en'	Aucun limnigramme chargé	No limnigraph loaded	No hay limnígrafo cargado	لم يتم تحميل رسم الخطوط	未加载湖泊图	Лимниграф не загружен	Լիմնիգրաֆը բեռնված չէ	Няма зареден лимниграф	Nenhum limnigrafo carregado	Není načten žádný limnigraf	Kein Limnigraph geladen	Limnigraafi pole laaditud	هیچ لیمنیگراف بارگذاری نشده است	Ei limnigrafia ladattu	לא נטען לימניגרף	Nessun limnigrafo caricato	リムニグラフがロードされていません	림니그래프가 로드되지 않았습니다.	Nincs betöltött limnigráf	Geen limnigrafie geladen	Nie załadowano limnigrafu	Nici un limnigraf încărcat	Није учитан лимниграф	Nie je načítaný limnigraf	Limnigraf ni naložen	Ingen limnigraf laddad	Лімніграф не завантажений
gauging_set_imported_from	Google translate used except for 'fr' and 'en'	Jeu de jaugeages importé depuis le fichier <code>{0}</code>	Gauging set imported from file <code>{0}</code>	Conjunto de calibres importado del archivo <code>{0}</code>	تم استيراد مجموعة القياس من الملف <code>{0}</code>	从文件 <code>{0}</code> 导入的测量集	Набор датчиков, импортированный из файла <code>{0}</code>	<code>{0}</code> ֆայլից ներմուծված չափման հավաքածու	Набор за измерване, импортиран от файл <code>{0}</code>	Conjunto de medição importado do arquivo <code>{0}</code>	Sada měření importovaná ze souboru <code>{0}</code>	Messsatz aus Datei <code>{0}</code> importiert	Mõõtmiskomplekt imporditi failist <code>{0}</code>	مجموعه سنجش وارد شده از فایل <code>{0}</code>	Mittaussarja tuotu tiedostosta <code>{0}</code>	ערכת מדידות מיובאת מהקובץ <code>{0}</code>	Set di indicatori importato dal file <code>{0}</code>	ファイル <code>{0}</code> からゲージ セットをインポートしました	<code>{0}</code> 파일에서 측정 세트를 가져왔습니다.	Mérőkészlet a <code>{0}</code> fájlból importálva	Meetset geïmporteerd uit bestand <code>{0}</code>	Zestaw mierników zaimportowany z pliku <code>{0}</code>	Set de măsurare importat din fișierul <code>{0}</code>	Сет за мерење увезен из датотеке <цоде>{0}</цоде>	Súprava merania importovaná zo súboru <code>{0}</code>	Nabor za merjenje, uvožen iz datoteke <code>{0}</code>	Mätuppsättning importerad från filen <code>{0}</code>	Набір вимірювань імпортовано з файлу <code>{0}</code>
